time,x,y,yaw,vx,vy,yaw_rate,lat_accel_g
4.14,214.403,18.5508,0.548264,71.0008,-2.84666,0.475396,3.44073
4.15,215.023,18.8983,0.553018,71.0585,-2.85277,0.475353,3.44321
4.16,215.642,19.249,0.557771,71.116,-2.85887,0.475309,3.44567
4.17,216.26,19.6029,0.562524,71.1733,-2.86496,0.475265,3.44813
4.18,216.877,19.96,0.567276,71.2305,-2.87104,0.475221,3.45058
4.19,217.492,20.3203,0.572028,71.2876,-2.8771,0.475177,3.45303
4.2,218.107,20.6838,0.57678,71.3445,-2.88315,0.475132,3.45546
4.21,218.72,21.0504,0.581531,71.4012,-2.88918,0.475087,3.45788
4.22,219.332,21.4202,0.586282,71.4578,-2.8952,0.475043,3.4603
4.23,219.942,21.7932,0.591032,71.5143,-2.90121,0.474997,3.4627
4.24,220.551,22.1693,0.595781,71.5706,-2.90721,0.474952,3.4651
4.25,221.159,22.5486,0.600531,71.6268,-2.91319,0.474907,3.46749
4.26,221.766,22.9311,0.60528,71.6828,-2.91916,0.474861,3.46987
4.27,222.371,23.3167,0.610028,71.7387,-2.92512,0.474816,3.47224
4.28,222.975,23.7054,0.614776,71.7944,-2.93107,0.47477,3.4746
4.29,223.578,24.0973,0.619523,71.85,-2.937,0.474724,3.47695
4.3,224.179,24.4923,0.62427,71.9055,-2.94292,0.474677,3.4793
4.31,224.779,24.8904,0.629017,71.9608,-2.94882,0.474631,3.48163
4.32,225.378,25.2917,0.633763,72.0159,-2.95471,0.474584,3.48396
4.33,225.975,25.696,0.638508,72.071,-2.96059,0.474538,3.48628
4.34,226.57,26.1035,0.643254,72.1258,-2.96646,0.474491,3.48859
4.35,227.164,26.5141,0.647998,72.1806,-2.97231,0.474444,3.49089
4.36,227.757,26.9278,0.652742,72.2352,-2.97815,0.474397,3.49318
4.37,228.348,27.3446,0.657486,72.2896,-2.98398,0.47435,3.49547
4.38,228.938,27.7644,0.662229,72.3439,-2.9898,0.474302,3.49775
4.39,229.526,28.1874,0.666972,72.3981,-2.9956,0.474255,3.50002
4.4,230.112,28.6134,0.671714,72.4521,-3.00139,0.474207,3.50228
4.41,230.697,29.0425,0.676456,72.506,-3.00716,0.47416,3.50453
4.42,231.28,29.4746,0.681197,72.5597,-3.01293,0.474112,3.50677
4.43,231.862,29.9098,0.685938,72.6134,-3.01868,0.474064,3.50901
4.44,232.442,30.3481,0.690679,72.6668,-3.02441,0.474016,3.51123
4.45,233.021,30.7893,0.695419,72.7201,-3.03014,0.473967,3.51345
4.46,233.598,31.2337,0.700158,72.7733,-3.03585,0.473919,3.51566
4.47,234.173,31.681,0.704897,72.8264,-3.04155,0.47387,3.51787
4.48,234.746,32.1314,0.709635,72.8793,-3.04723,0.473822,3.52006
4.49,235.318,32.5848,0.714373,72.9321,-3.0529,0.473773,3.52225
